Smiles,DynamicBind,smiles,pIC50
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.201922227232418,C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,5.201922227232418,CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.913640169325252
CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,5.201922227232418,CC(C)(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,3.0757207139381184
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,5.201922227232418,Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,5.201922227232418,C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094
O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,5.201922227232418,O[C@H](CC[C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)[C@H]2C(O)=O,2.2006594505464183
CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,5.201922227232418,CC(N1C2C=C(CN(C(CC3)C4)C3CC4NC(Nc3cc(C(F)(F)F)cc(F)c3)=O)CC1CCC2)=O,1.8239087409443189
CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,5.201940447458917,CC(NC=CC1=C2C=C3)=C1NC2=CC3=O,1.1870866433571443
